ISIN,Stock,Date,Close,LogReturn
AT0000652011,erste-group-bank-ag,2024-09-24,47.47,-0.0048334653310689365
AT00000VIE62,flughafen-wien-ag,2024-09-24,54.8,0.0
AT0000785555,semperit-ag-holding,2024-09-24,11.7,-0.011894787652149207
AT0000741053,evn-ag,2024-09-24,28.85,-0.005185837032365414
AT0000743059,omv-ag,2024-09-24,37.2,0.010810916104215676
AT0000908504,vienna-insurance-group-ag,2024-09-24,30.0,0.00836824967051658
AT0000999982,ATX,2024-09-24,3590.13,-0.001082939632432224
AT0000758305,palfinger-ag,2024-09-24,22.0,0.016036998909817104
AT0000746409,verbund-ag-kat-a,2024-09-24,73.0,-0.009543358046899859
AT0000641352,ca-immobilien-anlagen-ag,2024-09-24,25.26,0.015962030839780022
AT0000A21KS2,immofinanz-ag,2024-09-24,22.05,-0.006779686985378692
AT0000937503,voestalpine-ag,2024-09-24,21.66,0.021466059894877723
AT0000938204,mayr-melnhof-karton-ag,2024-09-24,86.0,0.007001195458983561
AT0000831706,wienerberger-ag,2024-09-24,29.4,-0.008804662365150108
AT0000821103,uniqa-insurance-group-ag,2024-09-24,7.46,0.0
AT0000644505,lenzing-ag,2024-09-24,32.4,0.01712104078011135
AT0000922554,rosenbauer-international-ag,2024-09-24,36.6,-0.010869672236903879
AT0000831706,wienerberger-ag,2024-09-25,29.18,-0.0075111312499962805
AT0000821103,uniqa-insurance-group-ag,2024-09-25,7.44,-0.0026845653706688757
AT0000641352,ca-immobilien-anlagen-ag,2024-09-25,23.3,-0.08076875635069017
AT0000999982,ATX,2024-09-25,3591.63,0.00041772490916200633
AT0000A21KS2,immofinanz-ag,2024-09-25,18.42,-0.17987557106569413
AT0000785555,semperit-ag-holding,2024-09-25,11.52,-0.015504186535965199
AT0000652011,erste-group-bank-ag,2024-09-25,48.25,0.016297895221768284
AT0000758305,palfinger-ag,2024-09-25,21.95,-0.0022753138371355394
AT0000644505,lenzing-ag,2024-09-25,32.75,0.010744539282977163
AT00000VIE62,flughafen-wien-ag,2024-09-25,54.2,-0.011009285508369255
AT0000741053,evn-ag,2024-09-25,28.5,-0.012205905679503734
AT0000908504,vienna-insurance-group-ag,2024-09-25,29.75,-0.00836824967051658
AT0000743059,omv-ag,2024-09-25,36.82,-0.01026758547416911
AT0000937503,voestalpine-ag,2024-09-25,21.7,0.0018450189735692967
AT0000938204,mayr-melnhof-karton-ag,2024-09-25,87.2,0.01385703466142628
AT0000746409,verbund-ag-kat-a,2024-09-25,74.0,0.013605652055778678
AT0000922554,rosenbauer-international-ag,2024-09-25,36.1,-0.013755375068485344
AT0000937503,voestalpine-ag,2024-09-26,22.6,0.040637645731826474
AT0000821103,uniqa-insurance-group-ag,2024-09-26,7.45,0.0013431835464675379
AT0000641352,ca-immobilien-anlagen-ag,2024-09-26,21.88,-0.06288038301787448
AT0000999982,ATX,2024-09-26,3617.73,0.00724061886982261
AT0000746409,verbund-ag-kat-a,2024-09-26,74.15,0.0020249753797713828
AT0000758305,palfinger-ag,2024-09-26,21.8,-0.0068571697261369125
AT0000938204,mayr-melnhof-karton-ag,2024-09-26,90.2,0.033825096153644096
AT0000922554,rosenbauer-international-ag,2024-09-26,36.1,0.0
AT0000741053,evn-ag,2024-09-26,28.4,-0.003514942107444497
AT0000785555,semperit-ag-holding,2024-09-26,11.82,0.02570835671020703
AT00000VIE62,flughafen-wien-ag,2024-09-26,54.2,0.0
AT0000743059,omv-ag,2024-09-26,36.5,-0.00872891521648602
AT0000644505,lenzing-ag,2024-09-26,33.4,0.01965293790139382
AT0000908504,vienna-insurance-group-ag,2024-09-26,30.15,0.013355791181555636
AT0000652011,erste-group-bank-ag,2024-09-26,48.95,0.014403541191524464
AT0000A21KS2,immofinanz-ag,2024-09-26,17.84,-0.0319939036752976
AT0000831706,wienerberger-ag,2024-09-26,29.98,0.027046949579812088
AT0000652011,erste-group-bank-ag,2024-09-27,49.04,0.001836922651436386
AT0000743059,omv-ag,2024-09-27,37.22,0.019533990625658755
AT00000VIE62,flughafen-wien-ag,2024-09-27,53.0,-0.022388994893478724
AT0000641352,ca-immobilien-anlagen-ag,2024-09-27,24.58,0.11636012658410831
AT0000937503,voestalpine-ag,2024-09-27,23.44,0.036494058430571685
AT0000A21KS2,immofinanz-ag,2024-09-27,18.44,0.03307909097658444
AT0000922554,rosenbauer-international-ag,2024-09-27,35.1,-0.028091734867015068
